,id,name,type,latitude,longitude,tarif,durasi,rating,dbscan_cluster_relaxed1500,is_outlier
80,81,1 March 1949 General Offensive Monument,location,-7.80101239999999,110.3653376,0,2700,4.6,0,False
81,82,Museum of Dewantara Kirti Griya,location,-7.8054438,110.3784719,5000,3600,4.6,0,False
82,83,Taman Pelangi Jogja,location,-7.7503027,110.3694988,20000,3600,4.3,0,False
83,84,Sewu Temple,location,-7.7439217,110.4929095,20000,5400,4.6,0,False
84,85,XT Square,location,-7.81670549999999,110.3862889,15000,3600,4.4,0,False
85,86,Mandira Baruga,location,-7.80897879999999,110.3707148,0,3600,4.4,0,False
86,87,Sasana Wiratama Monument Museum of Prince Diponegoro,location,-7.7865891,110.3514473,0,2700,4.4,0,False
87,88,Jogokariyan Mosque,location,-7.82426079999999,110.3644095,0,3600,4.8,0,False
88,89,Soko Tunggal Mosque,location,-7.81037459999999,110.3606882,0,5400,4.8,0,False
89,90,Maritime Museum - Jogja,location,-7.80114059999999,110.3493008,2000,3600,4.4,0,False
90,91,Indonesian Education Museum,location,-7.77480959999999,110.3872015,2500,5400,4.6,0,False
91,92,KAMPOENG GERABAH KASONGAN,location,-7.84522089999999,110.3374788,0,1800,4.5,0,False
92,93,Seribu Batu Songgo Langit,location,-7.9310984,110.430919,2500,7200,4.6,0,False
93,94,Grogol Tourism Village,location,-7.7399571,110.3024078,0,3600,4.3,0,False
94,95,Kampung Wisata Basen,location,-7.82437389999999,110.4004905,0,2700,4.3,0,False
95,96,Yogyakarta Southern Square,location,-7.81167189999999,110.363238,0,7200,4.7,0,False
96,97,CitraGrand Mutiara Waterpark Yogyakarta,location,-7.81373429999999,110.2831838,55000,5400,4.3,0,False
97,98,Cemeti - Institute for Art and Society,location,-7.81779179999999,110.3623492,0,3600,4.6,0,False
98,99,Selfie Park Jogja,location,-7.81651349999999,110.3866062,10000,5400,4.4,0,False
